creator_key,creator,title,media_type,publication_year,rating,period_of_my_life,tags,url
Anderson .Paak,Anderson .Paak,Malibu,Album,2016,Loved,20s,"{Rap},{R & B}",https://open.spotify.com/album/4VFG1DOuTeDMBjBLZT7hCK?si=H3MLe7PYSuOlTSv6a4CsOw
Ariana Grande,Ariana Grande,Sweetener,Album,2018,Loved,20s,{Pop},https://open.spotify.com/album/3tx8gQqWbGwqIGZHqDNrGe?si=6xvWhskRRuazlpDxrxadcw
Ariana Grande,Ariana Grande,"thank u, next",Album,2019,Loved,20s,{Pop},https://open.spotify.com/album/2fYhqwDWXjbpjaIJPEfKFw?si=8E4dGAGSS9ecJ-e0SW4cOQ
Avalanches,The Avalanches,Since I Left You,Album,2000,Loved,20s,{Electronic},https://open.spotify.com/album/3GBnNRYsxBfEeMSMmTpJ25?si=I8JFf0heQguwj6mYYJkx5g
Bahamas,Bahamas,Earthtones,Album,2018,20s,Loved,{Rock},https://open.spotify.com/album/1K3XPBfAfPO7jJhqTq4xME?si=IJD_v4FVRtmrnIjtwNPemQ
Beatles,The Beatles,Please Please Me,Album,1963,Loved,Childhood,{Rock},https://open.spotify.com/album/3KzAvEXcqJKBF97HrXwlgf?si=-qatvcXfSQ60gZNnvHqJUA
Beatles,The Beatles,With The Beatles,Album,1963,Loved,Childhood,{Rock},https://open.spotify.com/album/1aYdiJk6XKeHWGO3FzHHTr?si=bgnUki-SStOXpPdWmyigyg
Beatles,The Beatles,A Hard Day's Night,Album,1964,Loved,Childhood,{Rock},https://open.spotify.com/album/6wCttLq0ADzkPgtRnUihLV?si=ELmtVjrUR9GfS5JlSgv_jg
Beatles,The Beatles,Beatles For Sale,Album,1964,Loved,Childhood,{Rock},https://open.spotify.com/album/1vANZV20H5B4Fk6yf7Ot9a?si=m4QK8kqJTJ2YY6fshH-FiQ
Beatles,The Beatles,Help!,Album,1965,Loved,Childhood,{Rock},https://open.spotify.com/album/0PT5m6hwPRrpBwIHVnvbFX?si=MkbLEXglRCOyesuJui3BLQ
Beatles,The Beatles,Rubber Soul,Album,1965,Loved,Childhood,{Rock},https://open.spotify.com/album/50o7kf2wLwVmOTVYJOTplm?si=7_UoRHomST6tuWjElTaqrA
Beatles,The Beatles,Revolver,Album,1966,Loved,Childhood,{Rock},https://open.spotify.com/album/3PRoXYsngSwjEQWR5PsHWR?si=N7asHsmsSn6iSeSm1I_DyA
Beatles,The Beatles,Sgt. Pepper's Lonely Hearts Club Band,Album,1967,Loved,Childhood,{Rock},https://open.spotify.com/album/6QaVfG1pHYl1z15ZxkvVDW?si=Isq8SeejRs6SXPrVcRgUaQ
Beatles,The Beatles,Magical Mystery Tour,Album,1967,Loved,Childhood,{Rock},https://open.spotify.com/album/2BtE7qm1qzM80p9vLSiXkj?si=eIEwPMvnSQ-VSk3Di-YpmQ
Beatles,The Beatles,The White Album,Album,1968,Loved,Childhood,{Rock},https://open.spotify.com/album/1klALx0u4AavZNEvC4LrTL?si=GM21PzkrR1iiaP7KVVzSWg
Beatles,The Beatles,Abbey Road,Album,1969,Loved,Childhood,{Rock},https://open.spotify.com/album/0ETFjACtuP2ADo6LFhL6HN?si=gg9B18kVTyeo7DvoBLd-rg
Beatles,The Beatles,Let It Be,Album,1970,Loved,Childhood,{Rock},https://open.spotify.com/album/0jTGHV5xqHPvEcwL8f6YU5?si=4L3hnGtgQDynsDNoh3udGA
Beths,The Beths,Future Me Hates Me,Album,2018,Loved,20s,{Rock},https://open.spotify.com/album/4xG41eVnTuDK6uMmcksQ9B?si=BaeWB407TCWqbLJhlTvRSQ
Beths,The Beths,Jump Rope Gazers,Album,2020,Loved,In the past year,{Rock},https://open.spotify.com/album/5rwWTJEIAyzBbRjEU0BTfA?si=RwJ4wEQeRqqXb3Aasudraw
