creator_key,creator,title,media_type,publication_year,rating,period_of_my_life,tags,url
Alexander,Scott Alexander,Conflict vs. Mistake,Article,2018,Loved,20s,{Epistemology},https://slatestarcodex.com/2018/01/24/conflict-vs-mistake/
Alexander,Scott Alexander,Pushing And Pulling Goals,Article,2016,Loved,20s,"{Self-improvement},{Strategy},{Goal-setting}",https://slatestarcodex.com/2016/07/18/pushing-and-pulling-goals/
Alexander,Scott Alexander,The Parable of the Talents,Article,2015,Loved,20s,"{Self-improvement},{Skill development}",https://slatestarcodex.com/2015/01/31/the-parable-of-the-talents/
Alexander,Scott Alexander,Nonfiction Writing Advice,Article,2016,Loved,20s,{Communication},https://slatestarcodex.com/2016/02/20/writing-advice/
Branwen,Gwern Branwen,My Ordinary Life: Improvements Since the 1990s,Article,,Loved,20s,{Progress},https://www.gwern.net/Improvements
Caplan,Bryan Caplan,The Ideological Turing Test,Article,2011,Loved,20s,{Epistemology},https://www.econlib.org/archives/2011/06/the_ideological.html
Collison,Patrick Collison,Fast,Article,,Loved,20s,{Progress},https://patrickcollison.com/fast
Eghbal,Nadia Eghbal,The tyranny of ideas,Article,2019,Loved,20s,{Memetics},https://nadiaeghbal.com/ideas
Eghbal,Nadia Eghbal,Being basic as a virtue,Article,2019,Loved,20s,{Productivity},https://nadiaeghbal.com/basic
Forte,Tiago Forte,One Touch to Inbox Zero,Article,2015,Loved,20s,"{Self-improvement},{Productivity}",https://fortelabs.co/blog/one-touch-to-inbox-zero/
Forte,Tiago Forte,Theory of Constraints 101,Article,2016,Loved,20s,"{Systems},{Productivity},{Strategy}",https://fortelabs.co/blog/theory-of-constraints-101-table-of-contents/
Galef,Julia Galef,A taxonomy of ways books change your worldview,Article,2017,Loved,20s,{Epistemology},https://juliagalef.com/2017/01/06/a-taxonomy-of-books-that-change-your-worldview/
Hoare,Graydon Hoare,Always bet on text,Article,2014,Loved,20s,{Media},https://graydon2.dreamwidth.org/193447.html
Hobart,Byrne Hobart,Cost-First New Year's Resolutions,Article,2018,Loved,20s,"{Self-improvement},{Goal-setting},{Strategy}",https://medium.com/@byrnehobart/cost-first-new-years-resolutions-6bb30393201d
Lewis,Aaron Z. Lewis,Solved Conversations,Article,2014,Loved,20s,{Communication},https://aaronzlewis.com/blog/2014/06/01/solved-conversations/
Lewis,Aaron Z. Lewis,Being Your Selves: Identity R&D on the Pseudonymous Internet,Article,2020,Loved,20s,"{Media},{Internet}",https://aaronzlewis.com/blog/2020/02/18/being-your-selves-identity-r-and-d-on-the-pseudonymous-internet/
Matuschak,Andy Matuschak,Why books don't work,Article,2019,Loved,20s,"{Media},{Learning}",https://andymatuschak.org/books/
Meadows,Donella Meadows,Leverage Points,Article,1999,Loved,20s,"{Systems},{Decision making}",http://donellameadows.org/archives/leverage-points-places-to-intervene-in-a-system/
Perry,Sarah Perry,Deep Laziness,Article,2018,Loved,20s,{Self-improvement},https://www.ribbonfarm.com/2018/04/06/deep-laziness/
Salvatier,John Salvatier,Reality has a surprising amount of detail,Article,2017,Loved,20s,"{Epistemology},{Systems}",http://johnsalvatier.org/blog/2017/reality-has-a-surprising-amount-of-detail
Simler,Kevin Simler,Crony Beliefs,Article,2016,Loved,20s,{Epistemology},https://meltingasphalt.com/crony-beliefs/
Simler,Kevin Simler,Going Critical,Article,2019,Loved,20s,"{Systems},{Memetics}",https://meltingasphalt.com/going-critical/
Simler,Kevin Simler,A Natural History of Beauty,Article,2018,Loved,20s,{Ecology},https://meltingasphalt.com/a-natural-history-of-beauty/
Simler,Kevin Simler,Here Be Sermons,Article,2017,Loved,20s,{Memetics},https://meltingasphalt.com/here-be-sermons/
Somers,James Somers,Speed matters: Why working quickly is more important than it seems,Article,2015,Loved,20s,"{Productivity},{Self-improvement},{Strategy},{Skill development}",https://jsomers.net/blog/speed-matters
Somers,James Somers,You're probably using the wrong dictionary,Article,2014,Loved,20s,{Communication},https://jsomers.net/blog/dictionary
Steinhardt,Jacob Steinhardt,Research as a stochastic decision process,Article,2019,Loved,20s,"{Strategy},{Decision making},{Research}",https://cs.stanford.edu/~jsteinhardt/ResearchasaStochasticDecisionProcess.html
Vance,Alyssa Vance,Levels of Action,Article,2015,Loved,20s,"{Strategy},{Self-improvement},{Skill development}",https://www.lesswrong.com/posts/guDcrPqLsnhEjrPZj/levels-of-action
Wang,Dan Wang,Definite optimism as human capital,Article,2017,Loved,20s,{Progress},https://danwang.co/definite-optimism-as-human-capital/
Chang,Robert Chang,How I Build Learning Projects,Article,2019,,20s,"{Learning},{Self-improvement},{Skill development}",https://medium.com/@rchang/how-i-build-learning-projects-part-i-54dbaad68961
