author_lastname,Author,Title,My Rating,Original Publication Year,Period of My Life,Main Genre,Subgenres
Adams,Douglas Adams,The Hitchhiker's Guide to the Galaxy,liked,1979,childhood,Fiction,Literature
Adams,Scott Adams,How to Fail at Almost Everything and Still Win Big,liked,2013,20s,Non-fiction,"Self-Help, Memoirs"
Ahrens,Sönke Ahrens,How to Take Smart Notes,liked,2017,20s,Non-fiction,"Self-Help, Writing, Learning"
Ariely,Dan Ariely,Predictably Irrational,indifferent or forgotten,2008,20s,Non-fiction,"Psychology, Behavioral Economics"
Asimov,Isaac Asimov,Nightfall,indifferent or forgotten,1990,20s,Non-fiction,Science-Fiction
Aurelius,Marcus Aurelius,Meditations,indifferent or forgotten,180,20s,Non-fiction,Philosophy
Bach,Richard Bach,Jonathan Livingston Seagull,loved,1970,20s,Fiction,Parables
Bach,Richard Bach,Illusions,liked,1977,20s,Fiction,Parables
Banks,Iain M. Banks,The Player of Games,disliked,1988,20s,Fiction,Science-Fiction
Barnes,Julian Barnes,Flaubert's Parrot,disliked,1984,20s,Fiction,Literature
Barron,T.A. Barron,The Lost Years of Merlin Saga,loved,2000,teens,Fiction,Fantasy
Barron,T.A. Barron,The Great Tree of Avalon trilogy,liked,2006,teens,Fiction,Fantasy
Beckett,Samuel Beckett,Waiting for Godot,disliked,1952,20s,Non-fiction,Plays
Bock,Dennis Bock,The Ash Garden,indifferent or forgotten,2001,teens,Fiction,Literature
Borges,Jorge Luis Borges,The Library of Babel,liked,1941,20s,Fiction,Short Stories
Bostrom,Nick Bostrom,Superintelligence,indifferent or forgotten,2014,20s,Non-fiction,Philosophy
Bradbury,Ray Bradbury,Fahrenheit 451,liked,1953,teens,Fiction,Literature
Brooks,Terry Brooks,The Sword of Shannara,liked,1977,teens,Fiction,Fantasy
Browder,Bill Browder,Red Notice,indifferent or forgotten,2014,20s,Non-fiction,Memoirs
Brown,Dan Brown,The Da Vinci Code,liked,2003,teens,Fiction,Literature
Butler,Octavia E. Butler,Wild Seed,indifferent or forgotten,1980,20s,Fiction,Fantasy
Campbell,Joseph Campbell,A Joseph Campbell Companion,indifferent or forgotten,1991,teens,Non-fiction,Philosophy
Camus,Albert Camus,The Plague,liked,1947,20s,Fiction,Literature
Card,Orson Scott Card,Ender's Shadow,loved,1999,teens,Fiction,Science-Fiction
Card,Orson Scott Card,Ender's Saga,loved,1996,teens,Fiction,Science-Fiction
Carnegie,Dale Carnegie,How to Win Friends and Influence People,loved,1936,20s,Non-fiction,Self-Help
Caro,Robert A. Caro,The Path to Power,loved,1982,20s,Non-fiction,"History, Biographies"
Carroll,Lewis Carroll,Alice's Adventures in Wonderland & Through the Looking-Glass,indifferent or forgotten,1871,20s,Fiction,Literature
Catmull,Ed Catmull,"Creativity, Inc.",indifferent or forgotten,2009,teens,Non-fiction,Memoirs
Chabon,Michael Chabon,The Amazing Adventures of Kavalier & Clay,loved,2000,20s,Fiction,Literature
Chiang,Ted Chiang,Exhalation: Stories,loved,2019,20s,Fiction,Short Stories
Chilton,David Chilton,The Wealthy Barber Returns,indifferent or forgotten,2011,20s,Non-fiction,"Self-Help, Finance"
Christian,Brian Christian,Algorithms to Live By,loved,2016,20s,Non-fiction,"Self-Help, Computer Science & Programming"
Cialdini,Robert B. Cialdini,Influence,liked,1984,20s,Non-fiction,Psychology
Clarke,Arthur C. Clarke,2001: A Space Odyssey,indifferent or forgotten,1968,teens,Fiction,Science-Fiction
Clavell,James Clavell,Tai-Pan,liked,1966,teens,Fiction,Historical Fiction
Clear,James Clear,Atomic Habits,liked,2018,20s,Non-fiction,"Self-Help, Habits"
Coelho,Paulo Coelho,The Alchemist,disliked,1988,20s,Fiction,"Parables, Literature"
Collins,Suzanne Collins,The Hunger Games,liked,2008,20s,Fiction,Fantasy
Confucius,Confucius,The Analects,indifferent or forgotten,-429,20s,Non-fiction,Philosophy
Conrad,Joseph Conrad,Heart of Darkness,indifferent or forgotten,1899,20s,Fiction,Literature
Cowen,Tyler Cowen,Stubborn Attachments,liked,n,20s,Non-fiction,Philosophy
Cowen,Tyler Cowen,Discover Your Inner Economist,liked,2007,20s,Non-fiction,Economics
Crichton,Michael Crichton,Jurassic Park,indifferent or forgotten,1990,teens,Fiction,Science-Fiction
Czuchlewski,David Czuchlewski,The Muse Asylum,liked,2001,teens,Fiction,Literature
Dawkins,Richard Dawkins,Unweaving the Rainbow,liked,1998,teens,Non-fiction,Science
Dawkins,Richard Dawkins,The God Delusion,liked,2006,teens,Non-fiction,"Philosophy, Religion"
Dickens,Charles Dickens,Great Expectations,indifferent or forgotten,1861,20s,Fiction,Literature
Dillard,Annie Dillard,Pilgrim at Tinker Creek,liked,1974,20s,Non-fiction,Memoirs
Dostoyevsky,Fyodor Dostoyevsky,Crime and Punishment,liked,1866,20s,Fiction,Literature
Durant,Will Durant,The Lessons of History,liked,1968,20s,Non-fiction,History
Ellenberg,Jordan Ellenberg,How Not to Be Wrong,disliked,2014,20s,Non-fiction,Philosophy
Emerson,Ralph Waldo Emerson,Self-Reliance and Other Essays,indifferent or forgotten,1844,teens,Non-fiction,Philosophy
Feynman,Richard P. Feynman,"Surely You're Joking, Mr. Feynman!",liked,1985,20s,Non-fiction,Memoirs
Findley,Timothy Findley,The Butterfly Plague,liked,1969,teens,Fiction,Literature
Finnegan,William Finnegan,Barbarian Days,indifferent or forgotten,2015,20s,Non-fiction,Memoirs
Fitzgerald,F. Scott Fitzgerald,The Great Gatsby,liked,1925,20s,Fiction,Literature
Forster,E.M. Forster,The Machine Stops,loved,1909,20s,Fiction,Science-Fiction
Forster,E.M. Forster,A Room with a View,indifferent or forgotten,1908,20s,Fiction,Literature
Frank,Anne Frank,The Diary of a Young Girl,loved,1947,20s,Non-fiction,Memoirs
Franklin,Benjamin Franklin,The Autobiography of Benjamin Franklin,liked,1791,teens,Non-fiction,Memoirs
Gaiman,Neil Gaiman,Coraline,indifferent or forgotten,2002,20s,Fiction,Fantasy
Gaiman,Neil Gaiman,The Ocean at the End of the Lane,loved,2013,20s,Fiction,Fantasy
Gaiman,Neil Gaiman,Stardust,liked,1997,20s,Fiction,Fantasy
Gibson,William Gibson,"The Difference Engine ",loved,1990,20s,Fiction,Science-Fiction
Gilbert,Daniel Todd Gilbert,Stumbling on Happiness,indifferent or forgotten,2006,20s,Non-fiction,Psychology
Gladwell,Malcolm Gladwell,Outliers,liked,2008,20s,Non-fiction,Science
Gleick,James Gleick,Chaos,indifferent or forgotten,1987,20s,Non-fiction,"History, Science"
Gleick,James Gleick,Isaac Newton,loved,2003,20s,Non-fiction,"Biographies, Science"
Gleick,James Gleick,The Information,loved,2011,20s,Non-fiction,"History, Science"
Golding,William Golding,Lord of the Flies,loved,1954,teens,Non-fiction,Literature
Goldstein,Rebecca Goldstein,The Mind-Body Problem,disliked,1983,20s,Fiction,Literature
Goleman,Daniel Goleman,Altered Traits,disliked,2017,20s,Non-fiction,"Psychology, Science"
Guin,Ursula K. Le Guin,A Wizard of Earthsea,liked,1968,20s,Fiction,Fantasy
Guin,Ursula K. Le Guin,The Ones Who Walk Away from Omelas,liked,1973,20s,Fiction,Science-Fiction
Guin,Ursula K. Le Guin,The Left Hand of Darkness,liked,1969,20s,Fiction,Science-Fiction
Haidt,Jonathan Haidt,The Righteous Mind,loved,2012,20s,Non-fiction,Psychology
Haidt,Jonathan Haidt,The Happiness Hypothesis,loved,2005,20s,Non-fiction,Psychology
Harari,Yuval Noah Harari,Sapiens,disliked,2011,20s,Non-fiction,Philosophy
Harari,Yuval Noah Harari,Homo Deus,disliked,2017,20s,Non-fiction,Philosophy
Hargrove,Todd Hargrove,Playing With Movement,liked,n,20s,Non-fiction,"Self-Help, Exercise"
Harris,Judith Rich Harris,The Nurture Assumption,liked,1998,20s,Non-fiction,Science
Harris,Sam Harris,Free Will,loved,2012,20s,Non-fiction,Philosophy
Harris,Sam Harris,Waking Up,loved,2014,20s,Non-fiction,"Philosophy, Religion"
Hawley,Noah Hawley,Before the Fall,loved,2016,20s,Fiction,Literature
Hemingway,Ernest Hemingway,The Old Man and the Sea,indifferent or forgotten,1952,teens,Fiction,Literature
Herbert,Frank Herbert,Dune,indifferent or forgotten,1965,teens,Fiction,Science-Fiction
Hesse,Hermann Hesse,Siddhartha,liked,1922,teens,Fiction,"Parables, Literature"
Hill,Lawrence Hill,The Book of Negroes,liked,2007,teens,Fiction,"Literature, Historical Fiction"
Hinton,S.E. Hinton,The Outsiders,liked,1967,teens,Fiction,Literature
Hofstadter,Douglas R. Hofstadter,"Gödel, Escher, Bach",loved,1979,20s,Non-fiction,Philosophy
Holt,Jim Holt,Why Does the World Exist?,liked,2011,teens,Non-fiction,Philosophy
Homer,Homer,The Iliad,liked,-750,teens,Fiction,Literature
Homer,Homer,The Odyssey,liked,-700,teens,Fiction,Literature
Irving,John Irving,A Prayer for Owen Meany,loved,1989,20s,Fiction,Literature
Ishiguro,Kazuo Ishiguro,Never Let Me Go,disliked,2005,20s,Fiction,Literature
Jacobs,Alan Jacobs,The Pleasures of Reading in an Age of Distraction,liked,2011,20s,Non-fiction,"Philosophy, Self-Help"
Jemisin,N.K. Jemisin,The Fifth Season,indifferent or forgotten,2015,20s,Fiction,Fantasy
Johnstone,Keith Johnstone,Impro,liked,1979,20s,Non-fiction,"Philsosophy, Self-Help"
Jones,Lloyd Jones,Mister Pip,liked,2006,20s,Fiction,Literature
Jordan,Robert Jordan,The Wheel of Time 1-3,liked,1990,teens,Fiction,Fantasy
Joyce,James Joyce,Dubliners,liked,1914,20s,Fiction,Literature
Vonnegut,Kurt Vonnegut Jr.,Cat's Cradle,liked,1963,20s,Fiction,Literature
Kabat-Zinn,Jon Kabat-Zinn,Full Catastrophe Living,indifferent or forgotten,1990,20s,Non-fiction,Philosophy
Kadare,Ismail Kadare,Broken April,liked,1978,teens,Fiction,Literature
Kafka,Franz Kafka,The Metamorphosis,liked,1915,20s,Fiction,Literature
Kahneman,Daniel Kahneman,"Thinking, Fast and Slow",liked,2011,20s,Non-fiction,"Psychology, Science"
Kalanithi,Paul Kalanithi,When Breath Becomes Air,disliked,2016,20s,Non-fiction,Memoirs
Kaufman,Josh Kaufman,The Personal MBA,liked,2010,20s,Non-fiction,"Self-Help, Business"
Kay,Guy Gavriel Kay,The Fionavar Tapestry,liked,1986,teens,Fiction,Fantasy
Kay,Guy Gavriel Kay,Ysabel,liked,2007,teens,Fiction,Fantasy
Keyes,Daniel Keyes,Flowers for Algernon,liked,1966,20s,Fiction,Science-Fiction
King,Stephen King,On Writing,loved,2000,20s,Non-fiction,"Memoirs, Writing"
Kleist,Heinrich von Kleist,The Marquise of O,liked,1808,20s,Fiction,Literature
Larson,Gary Larson,The Far Side Gallery,liked,1984,teens,Fiction,Comics
Lee,Harper Lee,To Kill a Mockingbird,liked,1960,teens,Fiction,Literature
Levi,Primo Levi,Survival in Auschwitz,indifferent or forgotten,1947,20s,Non-fiction,"Memoirs, History"
Lewis,C.S. Lewis,The Chronicles of Narnia,liked,1956,childhood,Fiction,Fantasy
Lightman,Alan Lightman,Einstein's Dreams,liked,1992,teens,Fiction,Science-Fiction
MacDonald,George MacDonald,The Princess and the Goblin,indifferent or forgotten,1872,20s,Fiction,Fantasy
Martel,Yann Martel,Life of Pi,loved,2001,teens,Fiction,Literature
McCarthy,Cormac McCarthy,The Road,loved,2006,20s,Fiction,Literature
McGrayne,Sharon Bertsch McGrayne,The Theory That Would Not Die,disliked,2011,20s,Non-fiction,"History, Science, Statistics"
McMurtry,Larry McMurtry,Lonesome Dove,loved,1985,20s,Fiction,"Westerns, Literature"
Medina,John Medina,Brain Rules,liked,2008,20s,Non-fiction,"Science, Psychology"
Miller,Chanel Miller,Know My Name,loved,2019,20s,Non-fiction,Memoirs
Miller,Arthur  Miller,The Crucible,indifferent or forgotten,1953,teens,Fiction,Plays
Millhauser,Steven Millhauser,Martin Dressler,liked,1996,teens,Fiction,Literature
Morrison,Toni Morrison,Beloved,liked,1987,20s,Fiction,Literature
Moss,Stephen    Moss,The Rookie,liked,n,20s,Non-fiction,Memoirs
Murakami,Haruki Murakami,Sputnik Sweetheart,disliked,1999,20s,Fiction,Literature
Márquez,Gabriel García Márquez,One Hundred Years of Solitude,liked,1967,20s,Fiction,Literature
Nicholson,William Nicholson,The Wind on Fire Trilogy,liked,2002,childhood,Fiction,Fantasy
