creator_key,creator,title,media_type,publication_year,rating,period_of_my_life,tags,url
Anderson .Paak,Anderson .Paak,Malibu,Album,2016,Loved,20s,"{Rap},{R & B}",
Ariana Grande,Ariana Grande,Sweetener,Album,2018,Loved,20s,{Pop},
Ariana Grande,Ariana Grande,"thank u, next",Album,2019,Loved,20s,{Pop},
Avalanches,The Avalanches,Since I Left You,Album,2000,Loved,20s,{Electronic},
Beatles,The Beatles,Please Please Me,Album,1963,Loved,Childhood,{Rock},
Beatles,The Beatles,With The Beatles,Album,1963,Loved,Childhood,{Rock},
Beatles,The Beatles,A Hard Day's Night,Album,1964,Loved,Childhood,{Rock},
Beatles,The Beatles,Beatles For Sale,Album,1964,Loved,Childhood,{Rock},
Beatles,The Beatles,Help!,Album,1965,Loved,Childhood,{Rock},
Beatles,The Beatles,Rubber Soul,Album,1965,Loved,Childhood,{Rock},
Beatles,The Beatles,Revolver,Album,1966,Loved,Childhood,{Rock},
Beatles,The Beatles,Sgt. Pepper's Lonely Hearts Club Band,Album,1967,Loved,Childhood,{Rock},
Beatles,The Beatles,Magical Mystery Tour,Album,1967,Loved,Childhood,{Rock},
Beatles,The Beatles,The White Album,Album,1968,Loved,Childhood,{Rock},
Beatles,The Beatles,Abbey Road,Album,1969,Loved,Childhood,{Rock},
Beatles,The Beatles,Let It Be,Album,1970,Loved,Childhood,{Rock},
Beths,The Beths,Future Me Hates Me,Album,2018,Loved,20s,{Rock},
BROCKHAMPTON,BROCKHAMPTON,"SATURATION I, II, & III",Album,2017,Loved,20s,{Rap},
Bruce Cockburn,Bruce Cockburn,Speechless,Album,2005,Loved,Teens,"{Rock},{Folk},{Guitar}",
Bruce Cockburn,Bruce Cockburn,Anything Anytime Anywhere,Album,2001,Loved,Teens,"{Rock},{Folk}",
Bruce Hornsby,Bruce Hornsby,Halcyon Days,Album,2004,Loved,Teens,{Rock},
Bruce Hornsby & the Noisemakers,Bruce Hornsby & the Noisemakers,Bride of the Noisemakers,Album,2011,Loved,20s,"{Rock},{Live}",
Bruno Mars,Bruno Mars,24K Magic,Album,2016,Loved,20s,{Pop},
Bryan Adams,Bryan Adams,The Best of Me,Album,1999,Loved,Childhood,{Rock},
Carly Rae Jepsen,Carly Rae Jepsen,E-mo-tion,Album,2015,Loved,20s,{Pop},
Chance the Rapper,Chance the Rapper,Acid Rap,Album,2013,Loved,20s,{Rap},
Charlie Puth,Charlie Puth,Voicenotes,Album,2018,Loved,20s,{Pop},
Childish Gambino,Childish Gambino,"""Awaken, My Love!""",Album,2016,Loved,20s,{R & B},
Coldplay,Coldplay,Viva La Vida,Album,2008,Loved,Teens,{Rock},
Coldplay,Coldplay,Parachutes,Album,2000,Loved,Teens,{Rock},
Counting Crows,Counting Crows,Hard Candy,Album,2002,Loved,Teens,{Rock},
Daft Punk,Daft Punk,Alive 2007,Album,2007,Loved,20s,"{Electronic},{Live}",
Daft Punk,Daft Punk,Random Access Memories,Album,2013,Loved,20s,"{Electronic},{Funk},{Rock}",
Daft Punk,Daft Punk,Discovery,Album,2001,Loved,20s,{Electronic},
Fleetwood Mac,Fleetwood Mac,Dreams,Album,1977,Loved,20s,"{Folk},{Rock}",
Frank Ocean,Frank Ocean,Channel Orange,Album,2012,Loved,20s,{R & B},
Frank Ocean,Frank Ocean,Blonde,Album,2016,Loved,20s,{R & B},
Good Lovelies,Good Lovelies,Good Lovelies,Album,2009,Loved,20s,{Folk},
