creator_key,creator,title,media_type,publication_year,rating,period_of_my_life,tags,url
Aurelius,Marcus Aurelius,Meditations,Book,180,Indifferent,20s,"{Non-Fiction},{Philosophy}",
Adams,Scott Adams,How to Fail at Almost Everything and Still Win Big,Book,2013,Liked,20s,"{Non-Fiction},{Self-Help},{Memoirs}",
Adams,Douglas Adams,The Hitchhiker's Guide to the Galaxy,Book,1979,Liked,Childhood,"{Fiction},{Literature}",
Ahrens,Sönke Ahrens,How to Take Smart Notes,Book,2017,Liked,In the past year,"{Non-Fiction},{Self-Help},{Writing},{Learning}",
Adler & Van Doren,Mortimer J. Adler and Charles Van Doren,How to Read a Book,Book,1972,Mixed feelings,In the past year,"{Non-Fiction},{Self-Help},{Learning}",
Ariely,Dan Ariely,Predictably Irrational,Book,2008,Liked,20s,"{Non-Fiction},{Psychology}",
Barnes,Julian Barnes,Flaubert's Parrot,Book,1984,Disliked,20s,"{Fiction},{Literature}",
Asimov,Isaac Asimov,Nightfall,Book,1990,Liked,20s,"{Non-Fiction},{Science-Fiction}",
Asimov,Isaac Asimov,Prelude to Foundation,Book,1988,Disliked,20s,"{Fiction},{Science-Fiction}",
Bach,Richard Bach,Jonathan Livingston Seagull,Book,1970,Loved,20s,"{Fiction},{Parables}",
Bach,Richard Bach,Illusions,Book,1977,Liked,20s,"{Fiction},{Parables}",
Banks,Iain M. Banks,The Player of Games,Book,1988,Disliked,20s,"{Fiction},{Science-Fiction}",
Barron,T.A. Barron,The Lost Years of Merlin Saga,Book,2000,Loved,Teens,"{Fiction},{Fantasy}",
Barron,T.A. Barron,The Great Tree of Avalon trilogy,Book,2006,Liked,Teens,"{Fiction},{Fantasy}",
Beckett,Samuel Beckett,Waiting for Godot,Book,1952,Disliked,20s,"{Fiction},{Plays}",
Bock,Dennis Bock,The Ash Garden,Book,2001,Liked,Teens,"{Fiction},{Literature}",
Borges,Jorge Luis Borges,The Library of Babel,Book,1941,Liked,20s,"{Fiction},{Short Stories}",
Bostrom,Nick Bostrom,Superintelligence,Book,2014,Mixed feelings,20s,"{Non-Fiction},{Philosophy}",
Bradbury,Ray Bradbury,Fahrenheit 451,Book,1953,Liked,Teens,"{Fiction},{Literature}",
Brooks,Terry Brooks,The Sword of Shannara,Book,1977,Liked,Teens,"{Fiction},{Fantasy}",
Browder,Bill Browder,Red Notice,Book,2014,Indifferent,In the past year,"{Non-Fiction},{Memoirs}",
Brown,Dan Brown,The Da Vinci Code,Book,2003,Liked,Teens,"{Fiction},{Literature}",
Butler,Octavia E. Butler,Wild Seed,Book,1980,Mixed feelings,In the past year,"{Fiction},{Fantasy}",
Campbell,Joseph Campbell,A Joseph Campbell Companion,Book,1991,Indifferent,Teens,"{Non-Fiction},{Philosophy}",
Camus,Albert Camus,The Plague,Book,1947,Liked,20s,"{Fiction},{Literature}",
Card,Orson Scott Card,Ender's Shadow,Book,1999,Loved,Teens,"{Fiction},{Science-Fiction}",
Card,Orson Scott Card,Ender's Saga,Book,1996,Loved,Teens,"{Fiction},{Science-Fiction}",
Carnegie,Dale Carnegie,How to Win Friends and Influence People,Book,1936,Loved,20s,"{Non-Fiction},{Self-Help}",
Caro,Robert A. Caro,The Path to Power,Book,1982,Loved,In the past year,"{Non-Fiction},{History},{Biographies}",
