title,year,format,status
Le Petit Prince,2009,paper,read
The Hardy Boys 1-3,2009,paper,read
A Series of Unfortunate Events 1-3,2009,paper,read
Calvin & Hobbes,2009,paper,read
Children of the Red King 1-5,2009,paper,read
Dune,2009,paper,read
"God Bless You, Mr. Rosewater",2009,paper,read
Holes,2009,paper,read
Invisible Monsters,2009,paper,read
Lord of the Flies,2009,paper,read
Martin Dressler,2009,paper,read
Maximum Ride,2009,paper,read
Silverwing 1 & 2,2009,paper,read
Spin,2009,paper,read
Tai-Pan,2009,paper,read
The Butterfly Plague,2009,paper,read
The Catcher in the Rye,2009,paper,read
The Chrysalids,2009,paper,read
The Da Vinci Code,2009,paper,read
The Fionavar Tapestry,2009,paper,read
The Great Tree of Avalon Trilogy,2009,paper,read
The Hitchhiker's Guide to the Galaxy,2009,paper,read
The Hobbit,2009,paper,read
The Inheritance Cycle 1-3,2009,paper,read
The Lord of the Rings,2009,paper,read
The Lost Years of Merlin Saga,2009,paper,read
The Old Man and the Sea,2009,paper,read
The Outsiders,2009,paper,read
The Sword of Shannara,2009,paper,read
The Eye of the World,2009,paper,read
The Great Hunt,2009,paper,read
The Dragon Reborn,2009,paper,read
The Wind on Fire Trilogy,2009,paper,read
To Kill a Mockingbird,2009,paper,read
Twenty Thousand Leagues Under the Sea,2009,paper,read
Ysabel,2009,paper,read
Harry Potter 1-7,2011,paper,read
Broken April,2010,paper,read
Candide,2010,electronic,read
Ender's Saga,2010,paper,read
Fight Club,2010,paper,read
Gulliver's Travels,2010,electronic,read
Life of Pi,2010,paper,read
The Ash Garden,2010,paper,read
The Book of Negroes,2010,paper,read
Why Does the World Exist?,2010,paper,read
1984,2011,electronic,read
Ender's Shadow,2011,paper,read
Harry Potter 1-7,2011,paper,read
Outliers,2011,paper,read
Slaughterhouse-Five,2011,paper,read
The Black Swan,2011,paper,read
The Lord of the Rings,2011,electronic,read
A Short History of Progress,2011,paper,read
A New Christianity for a New World,2012,paper,read
Cat's Cradle,2012,paper,read
Cryptonomicon,2012,paper,quit
Fahrenheit 451,2012,paper,read
Flowers for Algernon,2012,paper,read
How to Win Friends and Influence People,2012,electronic,read
Illusions,2012,paper,read
Jonathan Livingston Seagull,2012,paper,read
Self-Reliance and Other Essays,2012,electronic,sampled
Stumbling on Happiness,2012,paper,read
The Analects,2012,paper,sampled
The Autobiography of Benjamin Franklin,2012,electronic,read
The God Delusion,2012,paper,read
The Hunger Games,2012,electronic,read
The Muse Asylum,2012,paper,read
The Player of Games,2012,paper,read
Unweaving the Rainbow,2012,electronic,read
Walden,2012,electronic,read
The Penelopiad,2013,paper,read
A Room with a View,2013,paper,read
Animal Farm,2013,electronic,read
Brain Rules,2013,paper,read
Don Quixote,2013,paper,sampled
Einstein: His Life and Universe,2013,paper,quit
Flaubert's Parrot,2013,paper,read
Frankenstein,2013,paper,read
Great Expectations,2013,paper,read
Heart of Darkness,2013,paper,read
Mrs. Dalloway,2013,paper,read
Night,2013,paper,read
Survival in Auschwitz,2013,paper,read
Tao Te Ching,2013,paper,sampled
The Art of War,2013,paper,sampled
The Difference Engine,2013,paper,read
The Iliad (Fagles translation),2013,paper,read
The Island of Doctor Moreau,2013,paper,read
The Machine Stops,2013,paper,read
The Odyssey (Fagles translation),2013,paper,read
The Picture of Dorian Gray,2013,paper,read
The Plague,2013,paper,read
A Joseph Campbell Companion,2014,paper,skimmed
