author_surname,author,title,publication_year,rating,period_of_my_life,genre,subgenres
Aurelius,Marcus Aurelius,Meditations,180,indifferent or forgotten,20s,Non-Fiction,Philosophy
Adams,Douglas Adams,The Hitchhiker's Guide to the Galaxy,1979,liked,childhood,Fiction,Literature
Adams,Scott Adams,How to Fail at Almost Everything and Still Win Big,2013,liked,20s,Non-Fiction,"Self-Help, Memoirs"
Ahrens,Sönke Ahrens,How to Take Smart Notes,2017,liked,20s,Non-Fiction,"Self-Help, Writing, Learning"
Ariely,Dan Ariely,Predictably Irrational,2008,indifferent or forgotten,20s,Non-Fiction,"Psychology, Behavioral Economics"
Asimov,Isaac Asimov,Nightfall,1990,indifferent or forgotten,20s,Non-Fiction,Science-Fiction
Bach,Richard Bach,Jonathan Livingston Seagull,1970,loved,20s,Fiction,Parables
Bach,Richard Bach,Illusions,1977,liked,20s,Fiction,Parables
Banks,Iain M. Banks,The Player of Games,1988,disliked,20s,Fiction,Science-Fiction
Barnes,Julian Barnes,Flaubert's Parrot,1984,disliked,20s,Fiction,Literature
Barron,T.A. Barron,The Lost Years of Merlin Saga,2000,loved,teens,Fiction,Fantasy
Barron,T.A. Barron,The Great Tree of Avalon trilogy,2006,liked,teens,Fiction,Fantasy
Beckett,Samuel Beckett,Waiting for Godot,1952,disliked,20s,Non-Fiction,Plays
Bock,Dennis Bock,The Ash Garden,2001,indifferent or forgotten,teens,Fiction,Literature
Borges,Jorge Luis Borges,The Library of Babel,1941,liked,20s,Fiction,Short Stories
Bostrom,Nick Bostrom,Superintelligence,2014,indifferent or forgotten,20s,Non-Fiction,Philosophy
Bradbury,Ray Bradbury,Fahrenheit 451,1953,liked,teens,Fiction,Literature
Brooks,Terry Brooks,The Sword of Shannara,1977,liked,teens,Fiction,Fantasy
Browder,Bill Browder,Red Notice,2014,indifferent or forgotten,20s,Non-Fiction,Memoirs
Brown,Dan Brown,The Da Vinci Code,2003,liked,teens,Fiction,Literature
Butler,Octavia E. Butler,Wild Seed,1980,indifferent or forgotten,20s,Fiction,Fantasy
Campbell,Joseph Campbell,A Joseph Campbell Companion,1991,indifferent or forgotten,teens,Non-Fiction,Philosophy
Camus,Albert Camus,The Plague,1947,liked,20s,Fiction,Literature
Card,Orson Scott Card,Ender's Shadow,1999,loved,teens,Fiction,Science-Fiction
Card,Orson Scott Card,Ender's Saga,1996,loved,teens,Fiction,Science-Fiction
Carnegie,Dale Carnegie,How to Win Friends and Influence People,1936,loved,20s,Non-Fiction,Self-Help
Caro,Robert A. Caro,The Path to Power,1982,loved,20s,Non-Fiction,"History, Biographies"
Carroll,Lewis Carroll,Alice's Adventures in Wonderland & Through the Looking-Glass,1871,indifferent or forgotten,20s,Fiction,Literature
Catmull,Ed Catmull,"Creativity, Inc.",2009,indifferent or forgotten,teens,Non-Fiction,Memoirs
Chabon,Michael Chabon,The Amazing Adventures of Kavalier & Clay,2000,loved,20s,Fiction,Literature
Chiang,Ted Chiang,Exhalation: Stories,2019,loved,20s,Fiction,Short Stories
Chilton,David Chilton,The Wealthy Barber Returns,2011,indifferent or forgotten,20s,Non-Fiction,"Self-Help, Personal Finance"
Christian,Brian Christian,Algorithms to Live By,2016,loved,20s,Non-Fiction,"Self-Help, Computer Science & Programming"
Cialdini,Robert B. Cialdini,Influence,1984,liked,20s,Non-Fiction,Psychology
Clarke,Arthur C. Clarke,2001: A Space Odyssey,1968,indifferent or forgotten,teens,Fiction,Science-Fiction
Clavell,James Clavell,Tai-Pan,1966,liked,teens,Fiction,Historical Fiction
Clear,James Clear,Atomic Habits,2018,liked,20s,Non-Fiction,"Self-Help, Business"
Coelho,Paulo Coelho,The Alchemist,1988,disliked,20s,Fiction,"Parables, Literature"
Collins,Suzanne Collins,The Hunger Games,2008,liked,20s,Fiction,Fantasy
Confucius,Confucius,The Analects,-429,indifferent or forgotten,20s,Non-Fiction,Philosophy
Conrad,Joseph Conrad,Heart of Darkness,1899,indifferent or forgotten,20s,Fiction,Literature
Cowen,Tyler Cowen,Stubborn Attachments,n,liked,20s,Non-Fiction,Philosophy
Cowen,Tyler Cowen,Discover Your Inner Economist,2007,liked,20s,Non-Fiction,Economics
Crichton,Michael Crichton,Jurassic Park,1990,indifferent or forgotten,teens,Fiction,Science-Fiction
