title,year,format
1984,2011,electronic
A Joseph Campbell Companion,2014,paper
A Mind for Numbers,2018,audio
A New Christianity for a New World,2012,paper
A Prayer for Owen Meany,2016,audio
A Room with a View,2013,paper
A Short History of Progress,Before 2010,paper
A Wizard of Earthsea,2014,electronic
Advanced R,2018,electronic
Algorithms to Live By,2017,paper
Alice's Adventures in Wonderland & Through the Looking-Glass,2015,paper
All the Light We Cannot See,2021,audio
All The Light We Cannot See,2021,audio
Altered Traits,2018,paper
An Introduction to Statistical Learning,2017,paper
Animal Farm,2013,electronic
Atomic Habits,2019,paper
Barbarian Days,2020,paper
Before the Fall,2018,paper
Beloved,2014,paper
Both Flesh and Not: Essays,2015,paper
Brain Rules,2013,paper
Broken April,2010,paper
Bullshit Jobs,2021,audio
Calvin & Hobbes,Before 2010,paper
Candide,2010,electronic
Cassandra,2014,paper
Cat's Cradle,2012,paper
Children of the Red King 1-5,Before 2010,paper
Clear and Simple as the Truth,2020,electronic
Coraline,2015,paper
"Creativity, Inc.",2019,electronic
Crime and Punishment,2014,audio
Cryptonomicon,2012,paper
Data and Goliath,2016,paper
Dead Man's Walk,2020,electronic
Debt,2021,audio
Discover Your Inner Economist,2018,electronic
Disneyland,2014,paper
Don Quixote,2013,paper
Dune,Before 2010,paper
Educated,2019,electronic
Einstein's Dreams,2014,paper
Elon Musk,2016,paper
Ender's Saga,2010,paper
Ender's Shadow,2011,paper
Everybody Lies,2017,audio
Exhalation: Stories,2020,paper
Fahrenheit 451,2012,paper
Fight Club,2010,paper
Flaubert's Parrot,2013,paper
Flow,2021,electronic
Flowers for Algernon,2012,paper
Frankenstein,2013,paper
Free Will,2016,paper
Full Catastrophe Living,2019,paper
Great Expectations,2013,paper
Gulliver's Travels,2010,electronic
"God Bless You, Mr. Rosewater",Before 2010,paper
"Gödel, Escher, Bach",2016,paper
Harry Potter 1-7,2011,paper
Harry Potter 1-7,2021,audio
Harry Potter and the Methods of Rationality,2015,electronic
